index,price
23.0,585472.0
28.0,1040000.0
32.0,1061632.0
36.0,77440.0
44.0,451328.0
51.0,1312640.0
57.0,302528.0
59.0,1405824.0
61.0,673664.0
76.0,564608.0
77.0,341120.0
83.0,651520.0
90.0,623616.0
107.0,1810688.0
113.0,656768.0
115.0,419200.0
124.0,463744.0
129.0,1106688.0
130.0,651520.0
133.0,584832.0
151.0,1564544.0
155.0,1136384.0
162.0,606464.0
180.0,1810688.0
190.0,348928.0
197.0,240512.0
202.0,651520.0
203.0,1128832.0
251.0,1106688.0
278.0,483968.0
289.0,637184.0
302.0,662720.0
303.0,404480.0
304.0,1106688.0
305.0,588416.0
321.0,1061632.0
326.0,195456.0
327.0,1672064.0
331.0,623616.0
332.0,-155264.0
362.0,1106688.0
366.0,501248.0
373.0,333568.0
374.0,233984.0
407.0,1308800.0
414.0,1131136.0
417.0,240512.0
419.0,1327168.0
420.0,464256.0
433.0,438144.0
455.0,240512.0
459.0,2189952.0
461.0,167680.0
491.0,365696.0
497.0,442752.0
501.0,1128832.0
530.0,380672.0
531.0,240512.0
533.0,1106688.0
534.0,508544.0
591.0,514304.0
594.0,1106688.0
607.0,651520.0
610.0,445952.0
611.0,436864.0
633.0,313600.0
650.0,1977728.0
651.0,1106688.0
668.0,1450624.0
694.0,1106688.0
695.0,390912.0
697.0,340096.0
698.0,588416.0
706.0,470912.0
714.0,389248.0
725.0,1106688.0
731.0,874304.0
746.0,438144.0
762.0,1061632.0
781.0,605184.0
789.0,435840.0
813.0,370944.0
817.0,1106688.0
820.0,1593600.0
831.0,352896.0
833.0,161152.0
856.0,1106688.0
865.0,572160.0
871.0,389504.0
877.0,349312.0
894.0,350592.0
896.0,369280.0
907.0,392768.0
924.0,606464.0
929.0,1046912.0
934.0,369280.0
942.0,1061632.0
961.0,394880.0
968.0,1810688.0
981.0,623616.0
987.0,623616.0
1000.0,341376.0
1014.0,568704.0
1025.0,726528.0
1034.0,1078784.0
1048.0,560576.0
1050.0,233984.0
1093.0,400640.0
1115.0,623616.0
1120.0,1106688.0
1127.0,1078784.0
1149.0,520768.0
1152.0,1061632.0
1172.0,628288.0
1205.0,1061632.0
1208.0,673664.0
1214.0,343168.0
1226.0,1106688.0
1231.0,691328.0
1235.0,527360.0
1258.0,673664.0
1259.0,1383552.0
1277.0,393856.0
1283.0,195456.0
1285.0,1882752.0
1302.0,363648.0
1303.0,588416.0
1318.0,481920.0
1322.0,1043584.0
1371.0,1325056.0
1383.0,651520.0
1387.0,1106688.0
1393.0,352896.0
1394.0,176000.0
1398.0,432384.0
1423.0,333568.0
1424.0,463744.0
1436.0,1106688.0
1457.0,1292032.0
1463.0,617344.0
1482.0,623616.0
1489.0,2059712.0
1495.0,591744.0
1509.0,459648.0
1516.0,418816.0
1520.0,450432.0
1524.0,1061632.0
1577.0,1106688.0
1587.0,1532416.0
1599.0,1128832.0
1607.0,699520.0
1611.0,1178752.0
1613.0,586752.0
1614.0,1957696.0
1618.0,1045504.0
1632.0,651520.0
1634.0,578688.0
1640.0,1061632.0
1641.0,179328.0
1665.0,262656.0
1687.0,1327168.0
1695.0,672640.0
1713.0,588416.0
1714.0,1106688.0
1715.0,1106688.0
1720.0,447232.0
1721.0,1078784.0
1723.0,463744.0
1724.0,240512.0
1742.0,1043584.0
1746.0,1061632.0
1749.0,783488.0
1761.0,596096.0
1774.0,54912.0
1797.0,1440896.0
1806.0,167680.0
1810.0,454528.0
1814.0,185408.0
1823.0,494592.0
1829.0,1106688.0
1839.0,651520.0
1840.0,240512.0
1842.0,1178752.0
1847.0,776448.0
1848.0,553984.0
1853.0,352896.0
1854.0,630336.0
1869.0,1810688.0
1878.0,502912.0
1882.0,352896.0
1905.0,1043584.0
1913.0,1458688.0
1915.0,1046912.0
1918.0,591744.0
1928.0,1106688.0
1984.0,978432.0
1985.0,212608.0
1990.0,614656.0
1999.0,257344.0
2014.0,1106688.0
2024.0,416000.0
2026.0,1033856.0
2038.0,578560.0
2041.0,611712.0
2045.0,240512.0
2098.0,177408.0
2102.0,606464.0
2106.0,1398656.0
2130.0,1043584.0
2131.0,127744.0
2132.0,586112.0
2144.0,2282880.0
2151.0,1106688.0
2183.0,651520.0
2184.0,1697792.0
2190.0,1106688.0
2211.0,26304.0
2216.0,1577472.0
2221.0,1102848.0
2233.0,779136.0
2235.0,1163776.0
2237.0,1061632.0
2252.0,1485952.0
2261.0,355712.0
2275.0,651520.0
2283.0,578688.0
2289.0,588416.0
2298.0,606464.0
2328.0,481920.0
2330.0,1106688.0
2332.0,688640.0
2362.0,759680.0
2382.0,459648.0
2384.0,416000.0
2414.0,352896.0
2418.0,565120.0
2420.0,1078784.0
2453.0,172416.0
2458.0,692864.0
2460.0,479360.0
2483.0,424320.0
2484.0,261632.0
2495.0,1041280.0
2496.0,352896.0
2514.0,537984.0
2523.0,212608.0
2529.0,1106688.0
2539.0,404480.0
2576.0,1136384.0
2581.0,432384.0
2590.0,416000.0
2599.0,393728.0
2635.0,167680.0
2644.0,651520.0
2655.0,606464.0
2667.0,410624.0
2669.0,1058944.0
2679.0,175104.0
2699.0,464256.0
2705.0,1210880.0
2719.0,572416.0
2734.0,1106688.0
2736.0,1106688.0
2740.0,596800.0
2757.0,1210880.0
2777.0,432128.0
2784.0,651520.0
2785.0,195456.0
2788.0,240512.0
2802.0,1061632.0
2808.0,875584.0
2822.0,1128832.0
2830.0,1128832.0
2833.0,1043584.0
2843.0,179328.0
2844.0,1317120.0
2849.0,445952.0
2859.0,1061632.0
2865.0,611712.0
2867.0,400640.0
2872.0,356224.0
2885.0,346880.0
2888.0,1036800.0
2899.0,432384.0
2912.0,432384.0
2923.0,370944.0
2937.0,486400.0
2943.0,630336.0
2944.0,422784.0
2956.0,2120576.0
2965.0,438144.0
2976.0,356224.0
2985.0,797824.0
2998.0,1106688.0
3035.0,459392.0
3048.0,519552.0
3052.0,173824.0
3055.0,651520.0
3075.0,588416.0
3078.0,1899904.0
3079.0,436864.0
3097.0,463744.0
3114.0,1835136.0
3120.0,432384.0
3152.0,1043584.0
3155.0,1330752.0
3167.0,1277440.0
3173.0,651520.0
3177.0,430848.0
3192.0,1043584.0
3197.0,588416.0
3212.0,1011072.0
3236.0,536832.0
3244.0,1106688.0
3257.0,1133696.0
3258.0,262656.0
3277.0,1078784.0
3283.0,832896.0
3301.0,588416.0
3322.0,586112.0
3340.0,1288832.0
3347.0,1214016.0
3363.0,432384.0
3387.0,588416.0
3389.0,673664.0
3401.0,651520.0
3409.0,333568.0
3412.0,556416.0
3416.0,464256.0
3438.0,1209600.0
3453.0,1988608.0
3458.0,186624.0
3472.0,372608.0
3479.0,591744.0
3505.0,1493248.0
3523.0,1043584.0
3525.0,246592.0
3542.0,651520.0
3559.0,502400.0
3581.0,41088.0
3610.0,372608.0
3616.0,490368.0
